,bank,year,keyword,segment,count
0,BAB-BacABank,2015,Nền tảng công nghệ,Nền tảng,0
0,BAB-BacABank,2015,Nền tảng số,Nền tảng,0
0,BAB-BacABank,2015,Hạ tầng công nghệ,Nền tảng,0
0,BAB-BacABank,2015,Công nghệ thông tin,Công nghệ,0
0,BAB-BacABank,2015,CNTT,Công nghệ,0
0,BAB-BacABank,2015,Kỹ thuật công nghệ,Công nghệ,0
0,BAB-BacABank,2015,Công nghệ ngân hàng,Công nghệ,0
0,BAB-BacABank,2015,Công nghệ 4.0,Công nghệ,0
0,BAB-BacABank,2015,Công nghệ tài chính,Công nghệ,0
0,BAB-BacABank,2015,Ứng dụng công nghệ,Công nghệ,0
0,BAB-BacABank,2015,Chuyển đổi số,Công nghệ,0
0,BAB-BacABank,2015,phát triển công nghệ,Công nghệ,0
0,BAB-BacABank,2015,Công nghệ Fintech,Công nghệ,0
0,BAB-BacABank,2015,hệ thống công nghệ,Công nghệ,0
0,BAB-BacABank,2015,digital transformation,Công nghệ,0
0,BAB-BacABank,2015,trí tuệ nhân tạo,Artificial intelligence,0
0,BAB-BacABank,2015,trợ lý ảo,Artificial intelligence,0
0,BAB-BacABank,2015,Artificial intelligence,Artificial intelligence,0
0,BAB-BacABank,2015,eKYC,Face recognition,0
0,BAB-BacABank,2015,xác thực khuôn mặt,Face recognition,0
0,BAB-BacABank,2015,Face recognition,Face recognition,0
0,BAB-BacABank,2015,nhận diện giọng nói,Voice recognition,0
0,BAB-BacABank,2015,Voice recognition,Voice recognition,0
0,BAB-BacABank,2015,xác thực vân tay,Fingerprint recognition,0
0,BAB-BacABank,2015,Fingerprint recognition,Fingerprint recognition,0
0,BAB-BacABank,2015,công nghệ chuỗi khối,Blockchain,0
0,BAB-BacABank,2015,blockchain,Blockchain,0
0,BAB-BacABank,2015,điện toán đám mây,Cloud computing,0
0,BAB-BacABank,2015,Hệ thống PKI,Cloud computing,0
0,BAB-BacABank,2015,Cloud computing,Cloud computing,0
0,BAB-BacABank,2015,Cloud service,Cloud service,0
0,BAB-BacABank,2015,Salesforce Financial Services Cloud,Cloud service,0
0,BAB-BacABank,2015,dịch vụ đám mây,Cloud service,0
0,BAB-BacABank,2015,đám mây,Cloud service,0
0,BAB-BacABank,2015,Cloud platform,Cloud platform,0
0,BAB-BacABank,2015,nền tảng trải nghiệm đám mây,Cloud platform,0
0,BAB-BacABank,2015,Adobe Experience Cloud,Cloud platform,0
0,BAB-BacABank,2015,Dữ liệu (Data),Big Data,0
0,BAB-BacABank,2015,Dữ liệu lớn,Big Data,0
0,BAB-BacABank,2015,Big Data,Big Data,0
0,BAB-BacABank,2015,Khoa học dữ liệu,Data mining,0
0,BAB-BacABank,2015,Máy học,Data mining,0
0,BAB-BacABank,2015,Data mining,Data mining,0
0,BAB-BacABank,2015,Mô hình dữ liệu,Data visualization,0
0,BAB-BacABank,2015,Dữ liệu và phân tích,Data visualization,0
0,BAB-BacABank,2015,phân tích dữ liệu,Data visualization,0
0,BAB-BacABank,2015,Data visualization,Data visualization,0
0,BAB-BacABank,2015,Thanh toán trực tuyến,Online Payment,0
0,BAB-BacABank,2015,Chuyển tiền trên kênh số,Online Payment,0
0,BAB-BacABank,2015,Thanh toán không tiếp xúc,Online Payment,0
0,BAB-BacABank,2015,Thanh toán điện tử,Online Payment,0
0,BAB-BacABank,2015,Thanh toán ECOM,Online Payment,0
0,BAB-BacABank,2015,Giao dịch công nghệ số,Online Payment,0
0,BAB-BacABank,2015,Giao dịch trực tuyến,Online Payment,0
0,BAB-BacABank,2015,Dịch vụ trực tuyến,Online Payment,0
0,BAB-BacABank,2015,Online Payment,Online Payment,0
0,BAB-BacABank,2015,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,BAB-BacABank,2015,Mobile Payment,Mobile Payment,0
0,BAB-BacABank,2015,SMS,Mobile Payment,1
0,BAB-BacABank,2015,QR Code,QR code payment,0
0,BAB-BacABank,2015,mã QR,QR code payment,0
0,BAB-BacABank,2015,VietQR,QR code payment,0
0,BAB-BacABank,2015,Không dùng tiền mặt,Digital wallet,0
0,BAB-BacABank,2015,Ví điện tử,Digital wallet,0
0,BAB-BacABank,2015,Tài khoản trực tuyến,Digital wallet,0
0,BAB-BacABank,2015,Digital wallet,Digital wallet,0
0,BAB-BacABank,2015,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
0,BAB-BacABank,2015,vay mua nhà trực tuyến,Online loan,0
0,BAB-BacABank,2015,Online loan,Online loan,0
0,BAB-BacABank,2015,Ngoại hối online,Online finance,0
0,BAB-BacABank,2015,Online finance,Online finance,0
0,BAB-BacABank,2015,smart contract,Lending platform,0
0,BAB-BacABank,2015,Hợp đồng thông minh,Lending platform,0
0,BAB-BacABank,2015,e-form,Lending platform,0
0,BAB-BacABank,2015,Lending platform,Lending platform,0
0,BAB-BacABank,2015,Inclusive credit,Inclusive credit,0
0,BAB-BacABank,2015,Customer portrait,Customer portrait,0
0,BAB-BacABank,2015,Mô hình hành vi,Customer portrait,0
0,BAB-BacABank,2015,mô hình VaR,Predictive model,0
0,BAB-BacABank,2015,Mô hình đo lường rủi ro,Predictive model,0
0,BAB-BacABank,2015,Mô hình cảnh báo nợ,Predictive model,0
0,BAB-BacABank,2015,Predictive model,Predictive model,0
0,BAB-BacABank,2015,Mô hình xếp hạng tín dụng,Credit evaluation,0
0,BAB-BacABank,2015,Credit evaluation,Credit evaluation,0
0,BAB-BacABank,2015,Anti-fraud,Anti-fraud,0
0,BAB-BacABank,2015,chống gian lận,Anti-fraud,0
0,BAB-BacABank,2015,Ngân hàng trực tuyến,Online banking,0
0,BAB-BacABank,2015,Online banking,Online banking,0
0,BAB-BacABank,2015,ngân hàng di động,Mobile banking,0
0,BAB-BacABank,2015,Ngân hàng trên điện thoại di động,Mobile banking,0
0,BAB-BacABank,2015,SHB Mobile,Mobile banking,0
0,BAB-BacABank,2015,Mobile banking,Mobile banking,1
0,BAB-BacABank,2015,E-Mobile,Mobile banking,0
0,BAB-BacABank,2015,One Time Password,Mobile banking,0
0,BAB-BacABank,2015,OTP,Mobile banking,0
0,BAB-BacABank,2015,Ebanking,Internet banking,0
0,BAB-BacABank,2015,Internet banking,Internet banking,2
0,BAB-BacABank,2015,SHB Mobile Banking,Bank app,0
0,BAB-BacABank,2015,ứng dụng di động,Bank app,0
0,BAB-BacABank,2015,ứng dụng ngân hàng số,Bank app,0
0,BAB-BacABank,2015,ứng dụng trên điện thoại,Bank app,0
0,BAB-BacABank,2015,ACB ONE,Bank app,0
0,BAB-BacABank,2015,VPBank NEO,Bank app,0
0,BAB-BacABank,2015,MyVIB,Bank app,0
0,BAB-BacABank,2015,HDBank,Bank app,0
0,BAB-BacABank,2015,BIDV Smart Banking,Bank app,0
0,BAB-BacABank,2015,MB Bank,Bank app,0
0,BAB-BacABank,2015,Vietinbank iPay,Bank app,0
0,BAB-BacABank,2015,TPBank Mobile,Bank app,0
0,BAB-BacABank,2015,Agribank E-Mobile Banking,Bank app,0
0,BAB-BacABank,2015,MSB mBank,Bank app,0
0,BAB-BacABank,2015,Eximbank EDigi,Bank app,0
0,BAB-BacABank,2015,Sacombank Pay,Bank app,0
0,BAB-BacABank,2015,SCB Mobile Banking,Bank app,0
0,BAB-BacABank,2015,BAOVIET Smart,Bank app,0
0,BAB-BacABank,2015,BAC A BANK Mobile Banking,Bank app,0
0,BAB-BacABank,2015,NCB iziMobile,Bank app,0
0,BAB-BacABank,2015,Liên Việt 24h,Bank app,0
0,BAB-BacABank,2014,Nền tảng công nghệ,Nền tảng,0
0,BAB-BacABank,2014,Nền tảng số,Nền tảng,0
0,BAB-BacABank,2014,Hạ tầng công nghệ,Nền tảng,0
0,BAB-BacABank,2014,Công nghệ thông tin,Công nghệ,0
0,BAB-BacABank,2014,CNTT,Công nghệ,0
0,BAB-BacABank,2014,Kỹ thuật công nghệ,Công nghệ,0
0,BAB-BacABank,2014,Công nghệ ngân hàng,Công nghệ,0
0,BAB-BacABank,2014,Công nghệ 4.0,Công nghệ,0
0,BAB-BacABank,2014,Công nghệ tài chính,Công nghệ,0
0,BAB-BacABank,2014,Ứng dụng công nghệ,Công nghệ,0
0,BAB-BacABank,2014,Chuyển đổi số,Công nghệ,0
0,BAB-BacABank,2014,phát triển công nghệ,Công nghệ,0
0,BAB-BacABank,2014,Công nghệ Fintech,Công nghệ,0
0,BAB-BacABank,2014,hệ thống công nghệ,Công nghệ,0
0,BAB-BacABank,2014,digital transformation,Công nghệ,0
0,BAB-BacABank,2014,trí tuệ nhân tạo,Artificial intelligence,0
0,BAB-BacABank,2014,trợ lý ảo,Artificial intelligence,0
0,BAB-BacABank,2014,Artificial intelligence,Artificial intelligence,0
0,BAB-BacABank,2014,eKYC,Face recognition,0
0,BAB-BacABank,2014,xác thực khuôn mặt,Face recognition,0
0,BAB-BacABank,2014,Face recognition,Face recognition,0
0,BAB-BacABank,2014,nhận diện giọng nói,Voice recognition,0
0,BAB-BacABank,2014,Voice recognition,Voice recognition,0
0,BAB-BacABank,2014,xác thực vân tay,Fingerprint recognition,0
0,BAB-BacABank,2014,Fingerprint recognition,Fingerprint recognition,0
0,BAB-BacABank,2014,công nghệ chuỗi khối,Blockchain,0
0,BAB-BacABank,2014,blockchain,Blockchain,0
0,BAB-BacABank,2014,điện toán đám mây,Cloud computing,0
0,BAB-BacABank,2014,Hệ thống PKI,Cloud computing,0
0,BAB-BacABank,2014,Cloud computing,Cloud computing,0
0,BAB-BacABank,2014,Cloud service,Cloud service,0
0,BAB-BacABank,2014,Salesforce Financial Services Cloud,Cloud service,0
0,BAB-BacABank,2014,dịch vụ đám mây,Cloud service,0
0,BAB-BacABank,2014,đám mây,Cloud service,0
0,BAB-BacABank,2014,Cloud platform,Cloud platform,0
0,BAB-BacABank,2014,nền tảng trải nghiệm đám mây,Cloud platform,0
0,BAB-BacABank,2014,Adobe Experience Cloud,Cloud platform,0
0,BAB-BacABank,2014,Dữ liệu (Data),Big Data,0
0,BAB-BacABank,2014,Dữ liệu lớn,Big Data,0
0,BAB-BacABank,2014,Big Data,Big Data,0
0,BAB-BacABank,2014,Khoa học dữ liệu,Data mining,0
0,BAB-BacABank,2014,Máy học,Data mining,0
0,BAB-BacABank,2014,Data mining,Data mining,0
0,BAB-BacABank,2014,Mô hình dữ liệu,Data visualization,0
0,BAB-BacABank,2014,Dữ liệu và phân tích,Data visualization,0
0,BAB-BacABank,2014,phân tích dữ liệu,Data visualization,0
0,BAB-BacABank,2014,Data visualization,Data visualization,0
0,BAB-BacABank,2014,Thanh toán trực tuyến,Online Payment,0
0,BAB-BacABank,2014,Chuyển tiền trên kênh số,Online Payment,0
0,BAB-BacABank,2014,Thanh toán không tiếp xúc,Online Payment,0
0,BAB-BacABank,2014,Thanh toán điện tử,Online Payment,0
0,BAB-BacABank,2014,Thanh toán ECOM,Online Payment,0
0,BAB-BacABank,2014,Giao dịch công nghệ số,Online Payment,0
0,BAB-BacABank,2014,Giao dịch trực tuyến,Online Payment,0
0,BAB-BacABank,2014,Dịch vụ trực tuyến,Online Payment,0
0,BAB-BacABank,2014,Online Payment,Online Payment,0
0,BAB-BacABank,2014,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,BAB-BacABank,2014,Mobile Payment,Mobile Payment,0
0,BAB-BacABank,2014,SMS,Mobile Payment,1
0,BAB-BacABank,2014,QR Code,QR code payment,0
0,BAB-BacABank,2014,mã QR,QR code payment,0
0,BAB-BacABank,2014,VietQR,QR code payment,0
0,BAB-BacABank,2014,Không dùng tiền mặt,Digital wallet,0
0,BAB-BacABank,2014,Ví điện tử,Digital wallet,0
0,BAB-BacABank,2014,Tài khoản trực tuyến,Digital wallet,0
0,BAB-BacABank,2014,Digital wallet,Digital wallet,0
0,BAB-BacABank,2014,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
0,BAB-BacABank,2014,vay mua nhà trực tuyến,Online loan,0
0,BAB-BacABank,2014,Online loan,Online loan,0
0,BAB-BacABank,2014,Ngoại hối online,Online finance,0
0,BAB-BacABank,2014,Online finance,Online finance,0
0,BAB-BacABank,2014,smart contract,Lending platform,0
0,BAB-BacABank,2014,Hợp đồng thông minh,Lending platform,0
0,BAB-BacABank,2014,e-form,Lending platform,0
0,BAB-BacABank,2014,Lending platform,Lending platform,0
0,BAB-BacABank,2014,Inclusive credit,Inclusive credit,0
0,BAB-BacABank,2014,Customer portrait,Customer portrait,0
0,BAB-BacABank,2014,Mô hình hành vi,Customer portrait,0
0,BAB-BacABank,2014,mô hình VaR,Predictive model,0
0,BAB-BacABank,2014,Mô hình đo lường rủi ro,Predictive model,0
0,BAB-BacABank,2014,Mô hình cảnh báo nợ,Predictive model,0
0,BAB-BacABank,2014,Predictive model,Predictive model,0
0,BAB-BacABank,2014,Mô hình xếp hạng tín dụng,Credit evaluation,0
0,BAB-BacABank,2014,Credit evaluation,Credit evaluation,0
0,BAB-BacABank,2014,Anti-fraud,Anti-fraud,0
0,BAB-BacABank,2014,chống gian lận,Anti-fraud,0
0,BAB-BacABank,2014,Ngân hàng trực tuyến,Online banking,0
0,BAB-BacABank,2014,Online banking,Online banking,0
0,BAB-BacABank,2014,ngân hàng di động,Mobile banking,1
0,BAB-BacABank,2014,Ngân hàng trên điện thoại di động,Mobile banking,0
0,BAB-BacABank,2014,SHB Mobile,Mobile banking,0
0,BAB-BacABank,2014,Mobile banking,Mobile banking,1
0,BAB-BacABank,2014,E-Mobile,Mobile banking,0
0,BAB-BacABank,2014,One Time Password,Mobile banking,0
0,BAB-BacABank,2014,OTP,Mobile banking,0
0,BAB-BacABank,2014,Ebanking,Internet banking,0
0,BAB-BacABank,2014,Internet banking,Internet banking,2
0,BAB-BacABank,2014,SHB Mobile Banking,Bank app,0
0,BAB-BacABank,2014,ứng dụng di động,Bank app,0
0,BAB-BacABank,2014,ứng dụng ngân hàng số,Bank app,0
0,BAB-BacABank,2014,ứng dụng trên điện thoại,Bank app,0
0,BAB-BacABank,2014,ACB ONE,Bank app,0
0,BAB-BacABank,2014,VPBank NEO,Bank app,0
0,BAB-BacABank,2014,MyVIB,Bank app,0
0,BAB-BacABank,2014,HDBank,Bank app,0
0,BAB-BacABank,2014,BIDV Smart Banking,Bank app,0
0,BAB-BacABank,2014,MB Bank,Bank app,0
0,BAB-BacABank,2014,Vietinbank iPay,Bank app,0
0,BAB-BacABank,2014,TPBank Mobile,Bank app,0
0,BAB-BacABank,2014,Agribank E-Mobile Banking,Bank app,0
0,BAB-BacABank,2014,MSB mBank,Bank app,0
0,BAB-BacABank,2014,Eximbank EDigi,Bank app,0
0,BAB-BacABank,2014,Sacombank Pay,Bank app,0
0,BAB-BacABank,2014,SCB Mobile Banking,Bank app,0
0,BAB-BacABank,2014,BAOVIET Smart,Bank app,0
0,BAB-BacABank,2014,BAC A BANK Mobile Banking,Bank app,0
0,BAB-BacABank,2014,NCB iziMobile,Bank app,0
0,BAB-BacABank,2014,Liên Việt 24h,Bank app,0
0,BAB-BacABank,2016,Nền tảng công nghệ,Nền tảng,0
0,BAB-BacABank,2016,Nền tảng số,Nền tảng,0
0,BAB-BacABank,2016,Hạ tầng công nghệ,Nền tảng,0
0,BAB-BacABank,2016,Công nghệ thông tin,Công nghệ,1
0,BAB-BacABank,2016,CNTT,Công nghệ,0
0,BAB-BacABank,2016,Kỹ thuật công nghệ,Công nghệ,0
0,BAB-BacABank,2016,Công nghệ ngân hàng,Công nghệ,0
0,BAB-BacABank,2016,Công nghệ 4.0,Công nghệ,0
0,BAB-BacABank,2016,Công nghệ tài chính,Công nghệ,0
0,BAB-BacABank,2016,Ứng dụng công nghệ,Công nghệ,0
0,BAB-BacABank,2016,Chuyển đổi số,Công nghệ,0
0,BAB-BacABank,2016,phát triển công nghệ,Công nghệ,0
0,BAB-BacABank,2016,Công nghệ Fintech,Công nghệ,0
0,BAB-BacABank,2016,hệ thống công nghệ,Công nghệ,0
0,BAB-BacABank,2016,digital transformation,Công nghệ,0
0,BAB-BacABank,2016,trí tuệ nhân tạo,Artificial intelligence,0
0,BAB-BacABank,2016,trợ lý ảo,Artificial intelligence,0
0,BAB-BacABank,2016,Artificial intelligence,Artificial intelligence,0
0,BAB-BacABank,2016,eKYC,Face recognition,0
0,BAB-BacABank,2016,xác thực khuôn mặt,Face recognition,0
0,BAB-BacABank,2016,Face recognition,Face recognition,0
0,BAB-BacABank,2016,nhận diện giọng nói,Voice recognition,0
0,BAB-BacABank,2016,Voice recognition,Voice recognition,0
0,BAB-BacABank,2016,xác thực vân tay,Fingerprint recognition,0
0,BAB-BacABank,2016,Fingerprint recognition,Fingerprint recognition,0
0,BAB-BacABank,2016,công nghệ chuỗi khối,Blockchain,0
0,BAB-BacABank,2016,blockchain,Blockchain,0
0,BAB-BacABank,2016,điện toán đám mây,Cloud computing,0
0,BAB-BacABank,2016,Hệ thống PKI,Cloud computing,0
0,BAB-BacABank,2016,Cloud computing,Cloud computing,0
0,BAB-BacABank,2016,Cloud service,Cloud service,0
0,BAB-BacABank,2016,Salesforce Financial Services Cloud,Cloud service,0
0,BAB-BacABank,2016,dịch vụ đám mây,Cloud service,0
0,BAB-BacABank,2016,đám mây,Cloud service,0
0,BAB-BacABank,2016,Cloud platform,Cloud platform,0
0,BAB-BacABank,2016,nền tảng trải nghiệm đám mây,Cloud platform,0
0,BAB-BacABank,2016,Adobe Experience Cloud,Cloud platform,0
0,BAB-BacABank,2016,Dữ liệu (Data),Big Data,0
0,BAB-BacABank,2016,Dữ liệu lớn,Big Data,0
0,BAB-BacABank,2016,Big Data,Big Data,0
0,BAB-BacABank,2016,Khoa học dữ liệu,Data mining,0
0,BAB-BacABank,2016,Máy học,Data mining,0
0,BAB-BacABank,2016,Data mining,Data mining,0
0,BAB-BacABank,2016,Mô hình dữ liệu,Data visualization,0
0,BAB-BacABank,2016,Dữ liệu và phân tích,Data visualization,0
0,BAB-BacABank,2016,phân tích dữ liệu,Data visualization,0
0,BAB-BacABank,2016,Data visualization,Data visualization,0
0,BAB-BacABank,2016,Thanh toán trực tuyến,Online Payment,0
0,BAB-BacABank,2016,Chuyển tiền trên kênh số,Online Payment,0
0,BAB-BacABank,2016,Thanh toán không tiếp xúc,Online Payment,0
0,BAB-BacABank,2016,Thanh toán điện tử,Online Payment,0
0,BAB-BacABank,2016,Thanh toán ECOM,Online Payment,0
0,BAB-BacABank,2016,Giao dịch công nghệ số,Online Payment,0
0,BAB-BacABank,2016,Giao dịch trực tuyến,Online Payment,0
0,BAB-BacABank,2016,Dịch vụ trực tuyến,Online Payment,0
0,BAB-BacABank,2016,Online Payment,Online Payment,0
0,BAB-BacABank,2016,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,BAB-BacABank,2016,Mobile Payment,Mobile Payment,0
0,BAB-BacABank,2016,SMS,Mobile Payment,1
0,BAB-BacABank,2016,QR Code,QR code payment,0
0,BAB-BacABank,2016,mã QR,QR code payment,0
0,BAB-BacABank,2016,VietQR,QR code payment,0
0,BAB-BacABank,2016,Không dùng tiền mặt,Digital wallet,0
0,BAB-BacABank,2016,Ví điện tử,Digital wallet,0
0,BAB-BacABank,2016,Tài khoản trực tuyến,Digital wallet,0
0,BAB-BacABank,2016,Digital wallet,Digital wallet,0
0,BAB-BacABank,2016,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
0,BAB-BacABank,2016,vay mua nhà trực tuyến,Online loan,0
0,BAB-BacABank,2016,Online loan,Online loan,0
0,BAB-BacABank,2016,Ngoại hối online,Online finance,0
0,BAB-BacABank,2016,Online finance,Online finance,0
0,BAB-BacABank,2016,smart contract,Lending platform,0
0,BAB-BacABank,2016,Hợp đồng thông minh,Lending platform,0
0,BAB-BacABank,2016,e-form,Lending platform,0
0,BAB-BacABank,2016,Lending platform,Lending platform,0
0,BAB-BacABank,2016,Inclusive credit,Inclusive credit,0
0,BAB-BacABank,2016,Customer portrait,Customer portrait,0
0,BAB-BacABank,2016,Mô hình hành vi,Customer portrait,0
0,BAB-BacABank,2016,mô hình VaR,Predictive model,0
0,BAB-BacABank,2016,Mô hình đo lường rủi ro,Predictive model,0
0,BAB-BacABank,2016,Mô hình cảnh báo nợ,Predictive model,0
0,BAB-BacABank,2016,Predictive model,Predictive model,0
0,BAB-BacABank,2016,Mô hình xếp hạng tín dụng,Credit evaluation,0
0,BAB-BacABank,2016,Credit evaluation,Credit evaluation,0
0,BAB-BacABank,2016,Anti-fraud,Anti-fraud,0
